Label (Grouping),2.01,2.02,3.01,3.02,4,5,6,7,8.06,8.08,8.09,9.01,9.02,10,11,12.01,12.02,12.03,14,15.14,15.15,15.16,15.17,15.19,15.22,16.05,17.01,17.02,18.02,18.03,18.11,18.13,18.15,18.16,18.17,18.18,18.19,19.02,19.07,19.08,20.01,20.02,21.01,21.02,22.01,22.02,22.04,22.07,22.08,22.09,22.1,22.17,22.18,22.19,22.2,22.21,22.22,1108
value_1,106,12,165,61,141,67,227,28,95,198,77,15,0,24,42,27,38,30,6,61,203,0,22,198,11,193,283,15,0,93,148,4,21,21,0,15,13,16,51,78,0,27,32,10,19,119,25,0,0,39,57,130,62,142,0,23,43,60
value_2,52,33,298,37,20,55,82,0,45,162,48,20,11,94,11,58,76,160,51,94,307,84,140,35,120,105,231,149,24,44,426,103,31,0,45,0,35,30,2,204,0,51,13,11,20,72,69,0,26,35,5,129,29,372,13,74,18,44
vaue_3,170,9,204,91,310,200,18,138,17,214,54,16,0,33,53,33,105,129,7,54,190,174,365,72,168,186,381,50,52,47,254,32,12,9,0,0,115,49,0,2,0,11,23,4,82,13,257,9,0,42,13,110,158,217,12,28,18,22
value_4,62,0,199,93,122,168,61,190,45,140,67,50,0,33,178,12,158,39,43,117,131,83,331,97,334,68,133,43,56,46,291,19,0,19,0,17,343,9,4,0,0,14,18,22,0,0,72,30,0,51,3,382,90,99,0,96,136,27
value_5,306,86,78,44,49,5,0,68,94,72,36,14,13,144,12,94,48,124,9,78,242,56,172,74,537,44,68,31,0,0,132,35,0,60,0,0,0,11,54,4,0,25,0,13,0,0,246,8,0,10,13,287,183,240,0,59,0,43
value_6,"1,101","1,278",435,320,305,897,578,442,911,646,240,117,81,"1,877",412,146,323,419,134,525,"1,545",778,"1,316",327,"2,543","1,809",905,103,0,167,667,14,0,176,75,89,351,644,152,29,23,158,129,9,34,206,421,28,77,122,10,"1,270",498,723,131,148,63,204
value_7,293,275,74,11,262,56,24,169,130,38,121,5,59,161,49,35,35,0,42,128,137,73,63,38,168,306,87,0,39,36,13,0,33,32,18,61,13,24,51,173,57,29,20,7,29,29,252,6,0,173,145,290,45,0,19,0,16,31
