Label (Grouping),2.01,2.02,3.01,3.02,4,5,6,7,8.06,8.08,8.09,9.01,9.02,10,11,12.01,12.02,12.03,14,15.14,15.15,15.16,15.17,15.19,15.22,16.05,17.01,17.02,18.02,18.03,18.11,18.13,18.15,18.16,18.17,18.18,18.19,19.02,19.07,19.08,20.01,20.02,21.01,21.02,22.01,22.02,22.04,22.07,22.08,22.09,22.1,22.17,22.18,22.19,22.2,22.21,22.22,1108
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),124,77,332,396,859,861,409,890,9,103,49,0,0,433,"1,082",505,"1,537",522,347,0,66,149,48,36,322,733,742,904,533,"1,447",781,873,426,"1,166","1,405",939,931,111,319,838,209,609,263,172,"1,308","1,344","2,825",857,682,"1,601","1,035",204,302,299,562,"1,125","1,651",244
value_1,27,29,140,72,404,372,133,322,9,78,24,0,0,191,653,232,742,211,133,0,0,73,26,0,24,429,458,583,233,549,441,486,247,651,802,639,444,71,80,295,44,279,179,109,855,557,"1,383",558,275,"1,169",641,27,114,100,327,515,975,125
value_2,85,0,25,90,120,67,92,69,0,10,8,0,0,55,194,54,184,57,65,0,42,0,14,0,5,67,147,52,101,212,67,84,78,168,180,129,102,0,55,277,17,84,11,34,234,220,340,133,86,171,126,49,54,11,35,221,155,71
value_3,0,10,70,28,122,166,0,75,0,15,0,0,0,23,81,35,148,69,18,0,0,9,0,0,19,45,46,125,14,215,112,70,1,134,171,36,98,4,63,73,62,69,12,13,39,235,333,72,62,67,43,18,26,31,15,324,166,0
value_4,0,38,0,91,104,40,12,40,0,0,0,0,0,69,24,12,83,104,56,0,0,0,0,0,0,68,0,64,78,135,105,38,15,40,136,40,161,0,44,66,0,12,20,4,5,42,119,39,129,60,48,0,0,17,62,0,176,7
value_5,12,0,97,115,109,216,172,384,0,0,17,0,0,95,130,172,380,81,75,0,24,67,8,36,274,124,91,80,107,336,56,195,85,173,116,95,126,36,77,127,86,165,41,12,175,290,650,55,130,134,177,110,108,140,123,65,179,41
value_6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,14,0,0
